"period_type","fiscal_year_be","period_order","period_label","risk_code","risk_name","risk_order","total_hn"
"ปีงบประมาณ","2566","0","ปีงบประมาณ 2566","Z0280","เสี่ยงต่ำ","1","141"
"ปีงบประมาณ","2566","0","ปีงบประมาณ 2566","Z0281","เสี่ยงปานกลาง","2","16"
"ปีงบประมาณ","2566","0","ปีงบประมาณ 2566","Z0282","เสี่ยงสูง","3","1"
"ปีงบประมาณ","2566","0","ปีงบประมาณ 2566","Z0283","เสี่ยงสูงมาก","4","2"
"ไตรมาส","2566","1","ไตรมาส 1","Z0280","เสี่ยงต่ำ","1","31"
"ไตรมาส","2566","1","ไตรมาส 1","Z0281","เสี่ยงปานกลาง","2","5"
"ไตรมาส","2566","1","ไตรมาส 1","Z0282","เสี่ยงสูง","3","0"
"ไตรมาส","2566","1","ไตรมาส 1","Z0283","เสี่ยงสูงมาก","4","1"
"ไตรมาส","2566","2","ไตรมาส 2","Z0280","เสี่ยงต่ำ","1","43"
"ไตรมาส","2566","2","ไตรมาส 2","Z0281","เสี่ยงปานกลาง","2","4"
"ไตรมาส","2566","2","ไตรมาส 2","Z0282","เสี่ยงสูง","3","1"
"ไตรมาส","2566","2","ไตรมาส 2","Z0283","เสี่ยงสูงมาก","4","0"
"ไตรมาส","2566","3","ไตรมาส 3","Z0280","เสี่ยงต่ำ","1","30"
"ไตรมาส","2566","3","ไตรมาส 3","Z0281","เสี่ยงปานกลาง","2","4"
"ไตรมาส","2566","3","ไตรมาส 3","Z0282","เสี่ยงสูง","3","0"
"ไตรมาส","2566","3","ไตรมาส 3","Z0283","เสี่ยงสูงมาก","4","0"
"ไตรมาส","2566","4","ไตรมาส 4","Z0280","เสี่ยงต่ำ","1","30"
"ไตรมาส","2566","4","ไตรมาส 4","Z0281","เสี่ยงปานกลาง","2","3"
"ไตรมาส","2566","4","ไตรมาส 4","Z0282","เสี่ยงสูง","3","0"
"ไตรมาส","2566","4","ไตรมาส 4","Z0283","เสี่ยงสูงมาก","4","1"
